user_id,user_name,persona,age,fitness_goal,experience_level,injury_constraint,exercise_id,exercise_name,bodyPart,equipment,target_muscle,rating,bodyPart_icon,equipment_icon,persona_icon,injury_icon
U0363,Emily Rivera,low_stress,53.0,FAT_LOSS,intermediate,shoulder_injury,1679,dumbbell seated one arm bicep curl on exercise ball with leg raised,upper arms,dumbbell,biceps,2.0,💪,🏋️,🟢,🤕
U0280,Aiden Perez,high_stress_low_support,46.0,mobility,intermediate,none,1338,exercise ball hug,back,stability ball,spine,5.0,🏋️,🏐,🔴,✅
U0043,Emma Lopez,moderate_stress,21.0,endurance,intermediate,none,10,assisted hanging knee raise with throw down,waist,assisted,abs,3.0,🧘,🤝,🟡,✅
U0007,Ashley Campbell,high_stress_low_support,56.0,mobility,advanced,knee_pain,2805,dumbbell single leg deadlift with stepbox support,upper legs,dumbbell,glutes,3.0,🦵,🏋️,🔴,🦵⚠️
U0187,Mia Nelson,low_stress,35.0,muscle_gain,beginner,none,1018,band shrug,back,band,traps,3.0,🏋️,➰,🟢,✅
U0396,Elizabeth Hall,moderate_stress,53.0,endurance,beginner,none,3544,bodyweight incline side plank,waist,body weight,abs,4.0,🧘,🧍,🟡,✅
U0149,Elizabeth Wilson,low_stress,59.0,general_fitness,beginner,shoulder_injury,2571,rocking frog stretch,upper legs,body weight,glutes,5.0,🦵,🧍,🟢,🤕
U0161,Mary Nguyen,low_stress,44.0,endurance,beginner,none,334,dumbbell lateral raise,shoulders,  dumbbell  ,delts,5.0,🤸,🏋️,🟢,✅
U0306,Michelle Wright,moderate_stress,19.0,general_fitness,advanced,knee_pain,2812,dumbbell step-up split squat,upper legs,dumbbell,quads,3.0,🦵,🏋️,🟡,🦵⚠️
U0069,Donald Perez,low_stress,,fat_loss,BEGINNER,none,860,cable kickback,Upper Arms,cable,triceps,3.0,💪,🔗,🟢,✅
U0226,Joseph Baker,high_stress_low_support,50.0,mobility,advanced,none,1742,dumbbell tricep kickback with stork stance,upper arms,dumbbell,triceps,4.0,💪,🏋️,🔴,✅
U0163,Deborah Hill,low_stress,,mobility,intermediate,back_pain,592,lever preacher curl,upper arms,leverage machine,biceps,4.0,💪,⚙️,🟢,🔻⚠️
U0314,Carlos Davis,low_stress,38.0,mobility,beginner,none,1677,dumbbell seated bicep curl,upper arms,dumbbell,biceps,3.0,💪,🏋️,🟢,✅
U0014,Carlos Hernandez,high_stress_low_support,,fat_loss,advanced,knee_pain,1684,dumbbell step up single leg balance with bicep curl,upper arms,dumbbell,biceps,4.0,💪,🏋️,🔴,🦵⚠️
U0453,Richard Thompson,moderate_stress,21.0,muscle_gain,advanced,knee_pain,813,triceps dip (between benches),upper arms,body weight,triceps,5.0,💪,🧍,🟡,🦵⚠️
U0012,Charles Gonzalez,high_stress_low_support,,general_fitness,intermediate,none,607,lever triceps extension,upper arms,leverage machine,triceps,5.0,💪,⚙️,🔴,✅
U0310,David Adams,low_stress,,mobility,advanced,none,788,standing behind neck press,shoulders,barbell,delts,4.0,🤸,🏋️‍♂️,🟢,✅
U0486,Elizabeth Taylor,low_stress,51.0,mobility,beginner,shoulder_injury,3541,dumbbell incline y-raise,back,dumbbell,upper back,3.0,🏋️,🏋️,🟢,🤕
U0462,Emily Hall,low_stress,59.0,fat_loss,intermediate,none,159,cable decline seated wide-grip row,back,cable,upper back,4.0,🏋️,🔗,🟢,✅
U0031,Joshua Rivera,moderate_stress,,endurance,intermediate,none,852,weighted squat,upper legs,weighted,glutes,4.0,🦵,🏋️,🟡,✅
U0191,Ronald Brown,high_stress_low_support,50.0,endurance,Beginner,back_pain,786,squat jerk,upper legs,barbell,quads,4.0,🦵,🏋️‍♂️,🔴,🔻⚠️
U0131,Jessica Mitchell,low_stress,42.0,endurance,advanced,none,67,barbell one arm snatch,shoulders,barbell,delts,3.0,🤸,🏋️‍♂️,🟢,✅
U0144,Andrew Johnson,moderate_stress,42.0,mobility,intermediate,none,1741,dumbbell standing bent over two arm triceps extension,upper arms,dumbbell,triceps,3.0,💪,🏋️,🟡,✅
U0053,Steven Martin,high_stress_low_support,40.0,endurance,beginner,none,816,triceps press,upper arms,body weight,triceps,5.0,💪,🧍,🔴,✅
U0266,Charles Rivera,low_stress,57.0,muscle_gain,intermediate,none,814,triceps dip,upper arms,body weight,triceps,5.0,💪,🧍,🟢,✅
U0355,Richard Nelson,moderate_stress,22.0,fat_loss,advanced,back_pain,678,rocky pull-up pulldown,back,body weight,lats,2.0,🏋️,🧍,🟡,🔻⚠️
